 Token    Address
-------  ---------
  50        -1
   1         0
  10        -1
  36        -1
   9        -1
  50        -1
   1         1
  10        -1
  36        -1
   9        -1
  47        -1
   1         0
   9        -1
  44        -1
   7        -1
   1         0
  17        -1
   2         2
   8        -1
   5        -1
  48        -1
   2         3
   2         4
   6        -1
  44        -1
   7        -1
   1         0
  26        -1
   2         2
  17        -1
   2         5
   8        -1
   5        -1
  48        -1
   2         6
   2         7
   6        -1
  50        -1
   1         8
  10        -1
  36        -1
  16        -1
  49        -1
   7        -1
   1         0
   8        -1
   9        -1
  40        -1
   1         9
  51        -1
  41        -1
   7        -1
   2        10
  13        -1
   1         8
  13        -1
   2         2
   8        -1
   5        -1
  44        -1
   7        -1
   1         0
  26        -1
   1         9
  17        -1
   2         5
   8        -1
   5        -1
  48        -1
   2         6
   2         7
   6        -1
   6        -1
  48        -1
   2         3
   2         4
